sample_id,timestep,time,object_name,object_id,gIA,gGA,gDA,label
1,1,4.745,Kettle,1,0.4059430888580997,0.727377296857638,0.4498708932604,1
1,2,5.737,cup,2,0.5740881041668676,0.727377296857638,0.7557459441136821,1
2,1,4.304,medicine,3,0.2171772824643987,0.6500886890571387,0.4498708932604,2
2,2,0.1,yoghurt,6,0.2232946277314504,0.7272197533758334,0.4498708932604,2
2,3,4.328,Kettle,1,0.4059428943322711,0.7255009678491157,0.4498708932604,2
2,4,4.928,cup,2,0.4059430718183441,0.7218978771313077,0.4498708932604,2
3,1,5.071,milk,4,0.6823115050906811,0.727377296857638,0.7557459441136821,3
3,2,6.18,bowl,9,0.2742175697005375,0.7020787991449414,0.4498708932604,3
4,1,4.534,coffee,5,0.4059431540024585,0.727377296857638,0.4498708932604,4
4,2,5.073,Kettle,1,0.3291723960533989,0.722409259227918,0.4498708702750275,4
4,3,4.725,cup,2,0.3990800862878387,0.7254646636149654,0.4498709113493839,4
5,1,4.874,coffee,5,0.1772137346444492,0.3894700583644361,0.1942802819831564,5
5,2,3.299,cup,2,0.3237284261049759,0.6925956110471506,0.4498708883351693,5
5,3,4.709,milk,4,0.6451737186859665,0.727377296857638,0.7557459441136821,5
5,4,7.839,Kettle,1,0.6032733053808874,0.727377296857638,0.7557459441136821,5
6,1,5.833,yoghurt,6,0.4844386619444607,0.727377296857638,0.6775332217259268,6
6,2,5.544,bowl,9,0.7289318410192337,0.727377296857638,0.7557459441136821,6
7,1,7.139,apple,7,0.7289318410192337,0.727377296857638,0.7557459441136821,7
8,1,7.24,banana,8,0.301643940379704,0.6728797687361369,0.4498708932604,8
9,1,4.637,banana,8,0.1772137346444492,0.5917695032866565,0.4498708932604,9
9,2,3.943,apple,7,0.2295738438813538,0.6510303544124154,0.4498708932604,9
9,3,4.353,yoghurt,6,0.4059430718183441,0.727377296857638,0.4498708932604,9
9,4,5.138,bowl,9,0.7250487543807554,0.727377296857638,0.7557459441136821,9
10,1,6.216,Alarm,10,0.3513047636435743,0.3894700588788909,0.3109506041782572,10
11,1,2.721,Kettle,1,0.5683171966452001,0.6450690282556752,0.7557459441136821,1
11,2,3.948,cup,2,0.21132372653023,0.2237213477957101,0.1942802685764803,1
12,1,2.249,medicine,3,0.4059430982382453,0.6629185732979895,0.4498708932604,2
12,2,3.5,Kettle,1,0.405942951142862,0.5021954119407044,0.4498708932604,2
12,3,3.488,cup,2,0.7289318410192337,0.7222338903439655,0.7557459441136821,2
13,1,5.092,milk,4,0.3337392135314651,0.389470044576804,0.2805219462309747,3
14,1,2.788,coffee,5,0.3855915498924072,0.5528819201972409,0.4300417661516611,4
14,2,2.925,Kettle,1,0.4059431868186671,0.389470066991246,0.4498708932604,4
14,3,3.31,cup,2,0.3480717481704349,0.2872012531739247,0.2890711105834244,4
15,1,2.832,milk,4,0.2239355601965745,0.3169245907669578,0.2014345774223505,5
15,2,2.307,Kettle,1,0.1991171771559795,0.2191596400534381,0.1942802685764803,5
15,3,4.928,cup,2,0.6693170823705186,0.7255009678491157,0.7557459441136821,5
16,1,0.1,apple,7,0.7289318410192337,0.727377296857638,0.7557459441136821,6
16,2,5.446,yoghurt,6,0.7289318410192337,0.727377296857638,0.7557459441136821,6
17,1,5.658,apple,7,0.7268360462473801,0.6802364877205762,0.7557459441136821,7
18,1,4.657,banana,8,0.1772137346444492,0.162504398186899,0.1942802685764803,8
19,1,2.06,banana,8,0.1772137346444492,0.162504398186899,0.1942802685764803,9
19,2,1.313,apple,7,0.1772137346444492,0.162504398186899,0.1942802685764803,9
19,3,1.394,yoghurt,6,0.4059430234668101,0.3894700592380119,0.4498708932604,9
19,4,3.182,bowl,9,0.7289318410192337,0.6259862393102039,0.7557459441136821,9
20,1,4.865,Alarm,10,0.2830430334105456,0.1985622266801097,0.2043193681585373,10
21,1,2.012,Kettle,1,0.7264308141766178,0.5840153417222352,0.7500885635454008,1
21,2,3.771,cup,2,0.405943006312675,0.162504398186899,0.1942803038829918,1
22,1,1.912,medicine,3,0.405943006312675,0.1673969825619327,0.1942803038829918,2
22,2,1.912,cup,2,0.7289318410192337,0.3894700592380119,0.4498708932604,2
23,1,3.46,milk,4,0.2895911960321657,0.1784659655532489,0.1942802685764803,3
24,1,2.031,coffee,5,0.4059430718183441,0.3558180643780496,0.394956307285066,4
24,2,2.389,Kettle,1,0.7289318410192337,0.6670645158430202,0.7557459441136821,4
24,3,4.17,cup,2,0.1772137346444492,0.162504398186899,0.1942802685764803,4
25,1,0.741,milk,4,0.4059430775276367,0.3894701137722769,0.4498708932604,5
25,2,2.711,coffee,5,0.1772137346444492,0.162504398186899,0.1942802685764803,5
25,3,1.608,Kettle,1,0.6429800790051257,0.5440796727417955,0.7148397855400729,5
25,4,3.576,cup,2,0.7289318410192337,0.1974619480941336,0.4498708932604,5
26,1,2.448,yoghurt,6,0.7235953374131456,0.3260379166829553,0.4498707924628289,6
27,1,2.871,apple,7,0.7289318410192337,0.3894700540149414,0.4498708932604,7
28,1,3.656,banana,8,0.4059430718183441,0.2093193092300168,0.215326864877404,8
29,1,2.48,yoghurt,6,0.4059430718183441,0.2548720336160707,0.2478550676050413,9
29,2,2.312,bowl,9,0.4059430718183441,0.1627015943498342,0.1942802959168154,9
29,3,2.312,apple,7,0.2285404269339229,0.162504398186899,0.1942802685764803,9
29,4,1.844,banana,8,0.7270662838330029,0.162504398186899,0.4498708932604,9
30,1,2.212,Alarm,10,0.3986063419906391,0.2255799538075431,0.231265678281385,10
31,1,2.084,cup,2,0.7224463207838692,0.7272756309020992,0.7557459441136821,1
31,2,4.331,Kettle,1,0.3386074064299387,0.1726998767794879,0.1999930250217645,1
32,1,1.98,medicine,3,0.3304374279411726,0.1793930797289933,0.1976945698544461,2
32,2,1.961,cup,2,0.605631951302737,0.5356214560037036,0.7092830333627582,2
32,3,2.903,Kettle,1,0.7289318410192337,0.5892223307245024,0.7557459441136821,2
33,1,4.131,milk,4,0.4059430530040662,0.2980768521697527,0.280205313064617,3
34,1,2.477,coffee,5,0.2277763070029199,0.162504398186899,0.1942802685764803,4
34,2,1.637,cup,2,0.2565551340805724,0.162504398186899,0.1942802685764803,4
34,3,1.736,Kettle,1,0.4059429123012296,0.162504398186899,0.1942803153157798,4
35,1,2.351,milk,4,0.3025021924513255,0.162504398186899,0.1942802685764803,5
35,2,1.886,coffee,5,0.405943161376386,0.2917288640025681,0.2727960678105745,5
35,3,2.401,cup,2,0.7289318410192337,0.1912505079486759,0.4498708932604,5
36,1,2.436,yoghurt,6,0.7289318410192337,0.4052585771782448,0.4498708669075155,6
37,1,3.49,apple,7,0.7289318410192337,0.3894700592380119,0.4498708932604,7
38,1,3.524,banana,8,0.1772137346444492,0.162504398186899,0.1942802685764803,8
39,1,1.354,apple,7,0.1772137346444492,0.162504398186899,0.1942802685764803,9
39,2,1.273,banana,8,0.1772137346444492,0.162504398186899,0.1942802685764803,9
39,3,1.512,cup,2,0.1886579245934075,0.162504398186899,0.1942802685764803,9
40,1,3.21,Alarm,10,0.7248485209666776,0.2411743595428368,0.4498708932604,10
41,1,5.699,cup,2,0.7125042129658503,0.727377296857638,0.7557459441136821,1
41,2,4.459,Kettle,1,0.4059430772584757,0.727377296857638,0.4498708932604,1
42,1,4.088,medicine,3,0.2489215430343146,0.6082643055044374,0.4498708932604,2
42,2,5.628,cup,2,0.6195649794192188,0.727377296857638,0.7557459441136821,2
42,3,5.263,Kettle,1,0.5832314583168465,0.727377296857638,0.7557459441136821,2
43,1,5.664,milk,4,0.7263038823719145,0.727377296857638,0.7557459441136821,3
44,1,5.386,coffee,5,0.6311528007926482,0.727377296857638,0.7557459441136821,4
44,2,4.506,cup,2,0.4059430926624505,0.7190419671103078,0.4498708932604,4
44,3,4.759,Kettle,1,0.4059430529048605,0.727377296857638,0.4498708932604,4
45,1,2.846,coffee,5,0.1772137346444492,0.3894700590556072,0.1942802820497534,5
45,2,2.443,Kettle,1,0.1772137346444492,0.5244953711117049,0.3491780904957113,5
45,3,5.296,milk,4,0.1772137346444492,0.3894700604362024,0.1942802821827795,5
46,1,5.464,yoghurt,6,0.6094028697607639,0.7254792033907873,0.7557459441136821,6
47,1,0.1,bowl,9,0.7222564093085531,0.727377296857638,0.7557459441136821,7
47,2,5.832,apple,7,0.7289318410192337,0.727377296857638,0.7557459441136821,7
48,1,5.396,banana,8,0.7208710259062541,0.727377296857638,0.7557459441136821,8
49,1,4.724,banana,8,0.4059430718183441,0.7183166108429679,0.4498708932604,9
49,2,5.596,apple,7,0.4059430673870288,0.727377296857638,0.4498708932604,9
49,3,4.56,yoghurt,6,0.4059430718183441,0.7182006763745067,0.4498708932604,9
49,4,4.256,bowl,9,0.2995489714147762,0.7222988275574469,0.4498708932604,9
51,1,3.013,cup,2,0.7289318410192337,0.6295121153991712,0.7557459441136821,1
51,2,2.781,Kettle,1,0.7287483558194914,0.3894700592380119,0.4498708932604,1
52,1,2.078,Kettle,1,0.7209519878384324,0.4434752936628699,0.6004516383696094,2
52,2,1.928,cup,2,0.4059428663083861,0.2237945038841203,0.2278103939778945,2
52,3,1.762,medicine,3,0.4059429881243492,0.1704724252752561,0.194280306094884,2
53,1,2.813,milk,4,0.2956918818754793,0.162504398186899,0.1942802685764803,3
54,1,1.644,coffee,5,0.7286609806548275,0.2715573792678347,0.4498708932604,4
54,2,1.844,cup,2,0.2442090214302447,0.162504398186899,0.1942802685764803,4
54,3,1.475,Kettle,1,0.3296480235077531,0.162504398186899,0.1974738171605269,4
55,1,1.408,coffee,5,0.1772137346444492,0.162504398186899,0.1942802685764803,5
55,2,1.31,milk,4,0.1772137346444492,0.162504398186899,0.1942802685764803,5
55,3,1.283,cup,2,0.1772137346444492,0.162504398186899,0.1942802685764803,5
55,4,1.195,Kettle,1,0.1772137346444492,0.162504398186899,0.1942802685764803,5
56,1,2.88,yoghurt,6,0.1772137346444492,0.162504398186899,0.1942802685764803,6
57,1,2.369,apple,7,0.7289318410192337,0.3021846718438721,0.4498709102862398,7
58,1,3.416,banana,8,0.7240634005718565,0.1982811592086514,0.4498708932604,8
59,1,2.148,yoghurt,6,0.7289318410192337,0.3894700592380119,0.4498708932604,9
59,2,2.14,apple,7,0.4059430718183441,0.162504398186899,0.1942802959168154,9
59,3,2.453,banana,8,0.4059430718183441,0.162504398186899,0.1942802959168154,9
59,4,1.844,bowl,9,0.4059430781225466,0.2305120190613534,0.2328429744794016,9
60,1,2.751,Alarm,10,0.3409293538722475,0.162504398186899,0.200650620095513,10
61,1,0.1,banana,8,0.7268436414934187,0.162504398186899,0.4498708932604,1
61,2,2.695,cup,2,0.4059430771004,0.3894700367906241,0.4498708932604,1
61,3,3.196,Kettle,1,0.4059430944152847,0.610436596371837,0.4498708932604,1
62,1,2.92,cup,2,0.2616617571038749,0.389470060526752,0.2134515768882549,2
62,2,2.839,Kettle,1,0.2373301536684902,0.4863867955095435,0.3188669748893105,2
62,3,3.398,medicine,3,0.4059428621478125,0.3894700602953926,0.4498708932604,2
63,1,4.419,milk,4,0.7268407324777598,0.6517001885268925,0.7557459441136821,3
64,1,2.685,coffee,5,0.2081073561831183,0.3890393965270924,0.1943218312311977,4
64,2,2.181,Kettle,1,0.1772137346444492,0.2619218584931115,0.1942802685764803,4
64,3,3.355,cup,2,0.4059431366340879,0.4372195218632017,0.4498710046069264,4
65,1,2.371,coffee,5,0.1772137346444492,0.2737755805393326,0.1942802685764803,5
65,2,3.447,milk,4,0.4059430718183441,0.3894700592380119,0.4498708932604,5
65,3,3.842,Kettle,1,0.4059431130674731,0.7179948529346954,0.4498708932604,5
65,4,3.995,cup,2,0.4059430450594404,0.6568862055872179,0.4498708932604,5
66,1,4.895,yoghurt,6,0.7289318410192337,0.7241608314904755,0.7557459441136821,6
67,1,4.132,apple,7,0.720794794142898,0.6407717495670825,0.7557459441136821,7
68,1,4.575,banana,8,0.7289318410192337,0.6565096917285069,0.7557459441136821,8
69,1,3.345,banana,8,0.4059430718183441,0.3894700592380119,0.4498708932604,9
69,2,2.927,apple,7,0.2637773424447792,0.3484206121485255,0.2241308216062702,9
69,3,3.558,yoghurt,6,0.4059430718183441,0.3894700592380119,0.4498708932604,9
69,4,3.456,bowl,9,0.4059430718183441,0.5171728541151592,0.4498708932604,9
70,1,5.951,Alarm,10,0.7289318410192337,0.727377296857638,0.7557459441136821,10
71,1,3.454,cup,2,0.3262561915366627,0.4973209852140912,0.3267053717841452,1
72,1,2.449,Kettle,1,0.6477009401013807,0.727377296857638,0.7557459441136821,2
72,2,3.998,medicine,3,0.1772137346444492,0.3894700939249376,0.1942802854095571,2
72,3,5.81,cup,2,0.3852137251822806,0.5736686686251598,0.427598223973118,2
73,1,0.1,Kettle,1,0.7289318410192337,0.727377296857638,0.7557459441136821,3
73,2,6.526,milk,4,0.7289318410192337,0.727377296857638,0.7557459441136821,3
74,1,3.862,cup,2,0.3297431842618627,0.62514421373063,0.4498709739862887,4
74,2,5.155,coffee,5,0.6041706269919982,0.727377296857638,0.7557459441136821,4
74,3,5.708,Kettle,1,0.6538370207365141,0.727377296857638,0.7557459441136821,4
75,1,0.1,apple,7,0.4059429148677376,0.727377296857638,0.4498708932604,5
75,2,4.996,coffee,5,0.4059429458285374,0.7197793227839944,0.4498708932604,5
75,3,4.939,milk,4,0.2893470376182745,0.574725067074531,0.4170172427029153,5
75,4,3.718,cup,2,0.1774728273079983,0.627427156972559,0.4498708932604,5
