fold,sample_id,timestep,h1,h2,h3,h4,h5,h6,h7,h8
1,6,1,0.673586689766911,0.4627323340453035,-0.711185663,-0.596033909,0.44263656532110796,-0.718372965,0.6915577349870689,-0.618200598
1,6,2,0.8885404894912862,-0.140217169,0.6701375659580782,-0.824033856,-0.339601352,0.014944960342783588,0.7502714049963958,0.0789769843766585
1,8,1,0.6928725751555644,0.6971420207110439,-0.521945454,-0.702416602,-0.527903375,0.6920893074848629,-0.185786332,-0.717372843
1,16,1,0.3164329296335934,0.7177703188960103,-0.546703955,-0.704617104,-0.660245699,-0.46104026,-0.711613779,0.7411399078792977
1,16,2,0.8210644864224339,0.8462517275805169,-0.384366459,-0.911486103,-0.1807841,-0.868381732,0.26875488560786326,-0.134937625
1,18,1,0.6519427344858939,0.6863098141915681,-0.504580127,-0.661974526,-0.418710809,0.6527449782973552,-0.375049126,-0.699234584
1,22,1,0.4529146426277382,0.6671642817006139,-0.593720088,0.6823648564232853,-0.176748641,0.6747978294787944,0.6489584494184814,0.4418897307161345
1,22,2,0.7689259814953763,-0.598984272,0.6321070311895824,0.8547827729489774,-0.690207813,0.8712902362011542,0.8005599420392201,0.5828202822821865
1,39,1,0.1361269866596302,0.6906074428462499,-0.44291814,-0.580916968,-0.50770128,-0.484668995,-0.691882331,0.6967508595085745
1,39,2,0.7400378280308286,0.8694811502943994,-0.000502789,-0.86480592,-0.447866866,0.359280684902325,-0.748997059,-0.538230227
1,39,3,0.862875863052634,-0.18538658,0.7460722724065295,-0.429111545,-0.138231135,0.7482568470870232,-0.806122098,-0.097836613
1,52,1,-0.67781505,-0.433351914,0.02236409941132037,0.6652122078277374,-0.622434237,-0.679947432,-0.442570464,0.645000947424972
1,52,2,0.1490339802488063,-0.814908703,0.5295566392432804,0.6000697731551893,-0.683454784,0.4838326428543857,-0.747147441,0.04875647926982066
1,52,3,0.09142104214792159,0.4378409010660122,-0.461569795,0.866271426848329,-0.728156563,0.6660862472674152,0.20374225833345652,0.4623796667195624
1,71,1,0.5459401340850657,-0.720348338,0.7156831694459374,0.4391038656103959,-0.479695692,0.7151043542846449,-0.527790429,-0.147597849
1,81,1,-0.602899962,0.6155061342550934,-0.693919461,-0.709358469,0.6764636941863397,0.6847367459096985,0.6414936868699598,0.7036802127298882
1,81,2,-0.784856145,-0.607182775,0.31547406213068835,0.37728121416735577,0.8653496230062455,-0.27435346,-0.094433434,0.8335034868062439
1,81,3,0.39614138705400365,-0.872590732,0.3688594564203304,-0.247363127,0.7312265803213471,0.6854883852777653,-0.703266446,0.7441940320116028
1,124,1,-0.666666963,-0.702802849,-0.709166818,-0.74073117,-0.665305069,0.6811205940209443,-0.292007365,-0.700494099
1,144,1,-0.673941373,-0.544705873,0.19233794618746586,0.6999366516059494,-0.574295379,-0.667040204,-0.436259748,0.6256973744356944
