sample_id,timestep,Kettle,cup,medicine,milk,coffee,yoghurt,apple,banana,bowl,Alarm,label
1,1,0.41023131332440677,0.42583022108462737,0.005998404847308778,0.0034884630945182394,0.039482199622682186,0.0008145208048046193,0.012567618892914632,0.056339942916515284,0.015478415671757135,0.029768899740464948,1
1,2,0.0012252056825534374,0.6530013536020752,0.0010206830680446208,0.005308481412030073,0.0003403876233764694,5.491033562154715e-05,0.0028115487049692237,0.33278775527392235,0.00025103925235483646,0.003198635045052299,1
2,1,0.1288797033945589,0.12051537277083041,0.469711704009073,0.005432811264750881,0.057095731879627486,0.0017178572512099343,0.03776192844756469,0.014588735624279562,0.08209906582639818,0.08219708953170689,2
2,2,0.12109221780686896,0.5698617786066115,0.0004440066455855311,0.004361737039682738,0.0030891792833511933,0.26180844159418926,0.014344884183972421,0.018915024321186427,0.0013740095816964437,0.004708720936855625,2
2,3,0.48750354296294446,0.38674490058753813,0.015769084979803286,3.479765492260383e-05,0.0006126816591472873,1.3965880458877162e-07,0.06611557938851308,0.0015553262649483836,0.030572645497847394,0.011091301345530696,2
2,4,0.004667449532029899,0.8533935008503414,0.04087774063122049,0.0031059138893637425,3.846490425717997e-05,4.7944060224295894e-05,0.0010199690489703717,0.09088936116146616,9.214323073533695e-05,0.005867512691391273,2
3,1,0.04989501198441564,0.05089976213325261,0.05812186838724758,0.4467655566736251,0.039519535695987866,4.135004669764854e-05,0.021328929123050906,0.046658271940569276,0.11485631068054297,0.1719134033346103,3
3,2,0.022484185024053166,0.238133124650884,0.015028988103883265,0.0019417931975757932,0.06473201581305721,0.170416579685593,3.6568414880206147e-06,0.013674119065648792,0.36282797645617876,0.110757561161638,3
4,1,0.1014569039193468,0.08262264885220759,0.09574552678270819,0.0007602242313703119,0.45881214208605253,0.0024611838909995563,0.2032070631634313,0.040549532813837816,0.0038843321159985587,0.010500442144047523,4
4,2,0.29092681590940445,0.18184540542563465,0.020558315574862738,0.04351626714159165,0.0007467594004412436,0.002909234747477877,0.007358639973707605,0.17181432303102964,0.011306642909076264,0.2690175958867739,4
4,3,0.001955198559608126,0.5381098848666978,0.006181104393757012,0.33434934211508993,0.0008549596453538713,0.005711298184859608,2.5111984176280095e-05,0.023365483982734192,1.5689662726285767e-05,0.08943192660499694,4
5,1,0.02454582109962017,0.2920191070286857,0.0024141183440454773,0.141432156981948,0.4052058587084948,8.930561633141314e-06,0.06383996300277983,0.002719837866766517,0.04967505145454424,0.018139154951482092,5
5,2,0.01291077673712304,0.44983606612763793,0.00939557572485744,0.19916821877865135,0.01147553089974885,0.00034070304248168064,0.170659660502763,0.016575915260661135,0.12448669134709583,0.0051508615789796494,5
5,3,0.36120194782769294,8.589600522397394e-05,0.03299410434677949,0.3628943149381856,0.1124676824871349,0.00011751758381139789,0.050993726757011096,0.00027534398566097195,0.052265278583032565,0.026704187485467032,5
5,4,0.3867847913919338,0.2688355554442951,9.71911724375088e-05,0.00013832772894811028,0.3014590700406219,0.00014906746177276623,0.0024839969615448295,0.0008780730542882725,0.024166601545712065,0.015007325198445545,5
6,1,0.1461518633036167,0.04755278109699493,0.000923095989425967,5.1888360469303504e-05,3.9101056340368755e-05,0.5052664710992805,0.002643171285956139,0.13810426575421153,0.0800329994025299,0.07923436265117467,6
6,2,0.015059733952113472,0.35201295389224707,0.0003918641189969781,0.0004591368957475011,0.00740965735513913,0.11572803858817036,0.2374114011545661,0.0022038709046915106,0.09796321098048634,0.17136013215784143,6
7,1,0.027542709701199982,0.04252976090130556,0.003432672871702683,0.0034266960018043404,0.0463849912396698,0.041305417987442916,0.6233593817532798,0.010377280625893381,0.20158802468945036,5.306422825114044e-05,7
8,1,0.00017030875629497924,0.001458374827055822,0.029168978919458452,0.00014393109956600407,0.01827139539111215,0.00031068161095058704,0.0007421414420107496,0.7107651112596739,0.01018975823640251,0.22877931845747487,8
9,1,0.0005581819495133879,0.024997055633864642,0.0027937963243053524,0.00809097142742618,0.00011933214362178494,0.27850793731035756,0.29325069762833655,0.14022497399978381,0.2500146968108572,0.0014423567719334305,9
9,2,2.371267064213976e-05,0.05848996438902597,0.04246443133578937,0.0006365748109123427,6.079895629523558e-05,0.27033061408927367,0.34102359848276487,0.00034358915346982766,0.28648731804903715,0.00013939806278934598,9
9,3,0.011188772473787039,0.24874638329437374,5.573558204489022e-05,0.0017389040422625703,5.1079617303516296e-06,0.3505283863507687,0.0001279125810073442,0.04418665136098111,0.3396526357726038,0.0037695105804404776,9
9,4,0.005372694226337882,0.4510877459373819,8.077014196973404e-05,0.00017796061415535945,1.8486123744989284e-05,0.0052546005839938514,0.009203738726433113,0.0010386977537792188,0.5277354789461032,2.982694610080475e-05,9
10,1,0.011415573170577344,0.001198747115251958,0.015005159124203851,0.017385277199431688,0.0007843210157657128,0.0004840234049838156,0.06978589161750119,0.012129838538934585,0.2609379833814753,0.6108731854318745,10
11,1,0.39112045611584506,0.4364848337894055,0.008069597328572174,0.004023154504880037,0.0426448241065192,1.2277392671909975e-05,0.0009709484904972997,0.01914639534513981,0.07555913522264744,0.021968377703821578,1
11,2,0.0013901027351899634,0.6458133871948599,0.0011624067077701781,0.014130406425828567,0.0001629595962021791,0.00012431518006092215,0.0010881389019081296,0.3329636285740093,0.00014926991105618353,0.0030153847731148463,1
12,1,0.27180367556703683,0.013541090962004506,0.42230078539762866,0.0075522719706408465,0.060572129951814574,0.000662765648165893,0.059358640052521706,0.011446251631085385,0.05134875978428459,0.10141362903481708,2
12,2,0.3301576482319867,0.40348926972197646,0.00222102114344149,0.0004516350807336101,0.0033773041725098907,0.2333834372032471,0.00434917773486494,0.005537249112359533,0.014751348408313854,0.0022819091905665377,2
12,3,0.008409629965484217,0.8399306032816889,0.11972531660682807,0.0004061367807148173,0.00013139288380888215,0.0005583734646138406,0.0013530241903821284,0.025115760023165176,0.0006826305778134416,0.00368713222550057,2
13,1,0.06039433532333115,0.05956536062912768,0.10816930359426859,0.5143766800339118,0.07107763265984589,0.0007062628857692386,0.0069228459595707965,0.04489137778470253,0.08719893670889123,0.04669726442058111,3
14,1,0.06367364949016294,0.07062709256896921,0.049653160765657414,0.000697022953654972,0.46913481774716753,0.0014736434598496603,0.08370266431472494,0.018976186201185526,0.004156264480223669,0.23790549801840408,4
14,2,0.28579956087057157,0.17084480297087673,0.02238227434538222,0.055526955765273875,0.0006963700066596413,0.0033425325259296965,0.007205896244561386,0.17508580814895944,0.009826534615342258,0.26928926450644314,4
14,3,0.0017743726434611689,0.5136470268863316,0.005899388102854964,0.36387841341217997,0.0007207317042081646,0.006566016882641893,2.1662123068185766e-05,0.022722176232700318,1.271469157320891e-05,0.08475749732098065,4
15,1,0.00918873807570208,0.2581911889218297,0.004496916959413884,0.3641536619482644,0.2961059731250599,0.000495039706856305,0.03822577673129855,0.0007018713359723177,0.020166280430960654,0.008274552764642182,5
15,2,0.126007790009455,0.052211135171205125,0.0040701501286793135,0.0027687850708846312,0.6791448815976383,0.0130048162495458,0.004519634998324226,0.0003345696829314016,0.005595171097346874,0.11234306599398926,5
15,3,4.476559834201282e-05,0.5366240480052326,0.09903503427821077,0.10041544044554333,0.2511489145793832,0.00039147356522597847,0.00672375412256665,0.0019834941141752263,0.0029691246457823877,0.000663950645537877,5
