position_id,sample_id,participant_id,object_name,object_id,duration,fsp,fid,fgd,fopr,gIA,gGA,gDA
1,1,1,Kettle,1,4.745,0.437488475,0.3856368142902387,0.5155879023918991,0.9215686274509804,0.4059430888580997,0.727377296857638,0.4498708932604
301,1,1,cup,2,5.737,0.528950765,0.5237638207691253,0.5318405616634034,0.9521410579345088,0.5740881041668676,0.727377296857638,0.7557459441136821
2,2,1,medicine,3,4.304,0.302480849,0.3242315624180724,0.3581256118047679,0.7352941176470589,0.2171772824643987,0.6500886890571387,0.4498708932604
302,2,1,Kettle,1,4.328,0.304167545,0.3275733448328842,0.4682262906147701,0.8705882352941177,0.2232946277314504,0.7272197533758334,0.4498708932604
454,2,1,cup,2,4.928,0.34633495,0.4111179052031785,0.4578243440331133,0.8853904282115869,0.4059428943322711,0.7255009678491157,0.4498708932604
3,3,1,milk,4,5.071,0.423182842,0.4310293587580985,0.4361972041433525,0.8421052631578947,0.4059430718183441,0.7218978771313077,0.4498708932604
303,3,1,bowl,9,6.18,0.515730618,0.5854475545091926,0.6776450612436066,1.0,0.6823115050906811,0.727377296857638,0.7557459441136821
4,4,1,coffee,5,4.534,0.29285622,0.3562569772266852,0.4246492182901343,0.7941176470588235,0.2742175697005375,0.7020787991449414,0.4498708932604
304,4,1,Kettle,1,5.073,0.327670844,0.4313078406259997,0.5528411605763076,0.9411764705882352,0.4059431540024585,0.727377296857638,0.4498708932604
455,4,1,cup,2,4.725,0.305193128,0.3828519956112288,0.4392516713768105,0.8463476070528967,0.3291723960533989,0.722409259227918,0.4498708702750275
5,5,1,coffee,5,4.874,0.225815419,0.4035988947698519,0.457606323288642,0.8382352941176471,0.3990800862878387,0.7254646636149654,0.4498709113493839
305,5,1,cup,2,3.299,0.1528447,0.1842944237978294,0.3087855077911569,0.5743073047858942,0.1772137346444492,0.3894700583644361,0.1942802819831564
456,5,1,milk,4,4.709,0.218170867,0.3806241406680209,0.4016119742606512,0.7942583732057417,0.3237284261049759,0.6925956110471506,0.4498708883351693
566,5,1,Kettle,1,7.839,0.363185693,0.8164482639330565,0.8669951609972641,1.0,0.6451737186859665,0.727377296857638,0.7557459441136821
6,6,1,yoghurt,6,5.833,0.4912,0.5371309504283724,0.5491797837735334,0.95906432748538,0.6032733053808874,0.727377296857638,0.7557459441136821
306,6,1,bowl,9,5.544,0.466863158,0.4968903205166806,0.5986242616138153,0.9883720930232558,0.4844386619444607,0.727377296857638,0.6775332217259268
7,7,1,apple,7,7.139,1.0,0.7189796101677132,0.6878439708944356,0.9950248756218906,0.7289318410192337,0.727377296857638,0.7557459441136821
8,8,1,banana,8,7.24,1.0,0.7330429444967127,0.6633418546423494,1.0,0.7289318410192337,0.727377296857638,0.7557459441136821
9,9,1,banana,8,4.637,0.227482339,0.3705987934235856,0.4083456966690321,0.7772277227722773,0.301643940379704,0.6728797687361369,0.4498708932604
307,9,1,apple,7,3.943,0.193436028,0.2739655852619453,0.3529242751694669,0.681592039800995,0.1772137346444492,0.5917695032866565,0.4498708932604
457,9,1,yoghurt,6,4.353,0.213549843,0.3310543681816464,0.3923015594954346,0.7543859649122807,0.2295738438813538,0.6510303544124154,0.4498708932604
567,9,1,bowl,9,5.138,0.25206044,0.4403585013327815,0.5481801662526593,0.9651162790697676,0.4059430718183441,0.727377296857638,0.4498708932604
10,10,1,Alarm,10,6.216,1.0,0.5904602281314103,0.5533401552917463,0.9705882352941176,0.7250487543807554,0.727377296857638,0.7557459441136821
11,11,2,Kettle,1,2.721,0.401505091,0.3767446560966692,0.2857080409125005,0.5725490196078431,0.3513047636435743,0.3894700588788909,0.3109506041782572
308,11,2,cup,2,3.948,0.582558654,0.5214308648664168,0.3681631656923415,0.7304785894206549,0.5683171966452001,0.6450690282556752,0.7557459441136821
12,12,2,medicine,3,2.249,0.238064994,0.3210870435951852,0.1987819157541485,0.2549019607843137,0.21132372653023,0.2237213477957101,0.1942802685764803
309,12,2,Kettle,1,3.5,0.370487986,0.4686033004582285,0.3741845291004707,0.7529411764705882,0.4059430982382453,0.6629185732979895,0.4498708932604
458,12,2,cup,2,3.488,0.369217741,0.4671882764115806,0.3260773064711629,0.6196473551637279,0.405942951142862,0.5021954119407044,0.4498708932604
13,13,2,milk,4,5.092,1.0,0.6563298239801831,0.4382035296337854,0.854066985645933,0.7289318410192337,0.7222338903439655,0.7557459441136821
14,14,2,coffee,5,2.788,0.300528188,0.3846452070237866,0.2554047908566206,0.4558823529411764,0.3337392135314651,0.389470044576804,0.2805219462309747
310,14,2,Kettle,1,2.925,0.315295893,0.4008000648896834,0.308877750271096,0.6509803921568628,0.3855915498924072,0.5528819201972409,0.4300417661516611
459,14,2,cup,2,3.31,0.356796378,0.4461987530529702,0.3097919087725329,0.5768261964735516,0.4059431868186671,0.389470066991246,0.4498708932604
15,15,2,milk,4,2.832,0.217795893,0.3898336285281622,0.2222846911395732,0.3301435406698564,0.3480717481704349,0.2872012531739247,0.2890711105834244
311,15,2,Kettle,1,2.307,0.177420595,0.3279263264873167,0.2386871601553508,0.3686274509803922,0.2239355601965745,0.3169245907669578,0.2014345774223505
460,15,2,coffee,5,2.195,0.168807198,0.3147194353852696,0.1979237224327526,0.25,0.1991171771559795,0.2191596400534381,0.1942802685764803
568,15,2,cup,2,4.928,0.378989464,0.6369911620093285,0.4578243440331133,0.8853904282115869,0.6693170823705186,0.7255009678491157,0.7557459441136821
16,16,2,yoghurt,6,5.446,1.0,0.6980730333562961,0.5081582481008142,0.9064327485380116,0.7289318410192337,0.727377296857638,0.7557459441136821
17,17,2,apple,7,5.658,1.0,0.7230717915137423,0.532644950441157,0.9402985074626866,0.7289318410192337,0.727377296857638,0.7557459441136821
