position_id,sample_id,participant_id,object_name,object_id,duration,fsp,fid,fgd,fopr
1,1,1,Kettle,1,4.745,0.437488475,0.38563681429023877,0.5155879023918991,0.9215686274509803
301,1,1,cup,2,5.737,0.528950765,0.5237638207691253,0.5318405616634034,0.9521410579345088
2,2,1,medicine,3,4.304,0.302480849,0.32423156241807244,0.35812561180476793,0.7352941176470589
302,2,1,Kettle,1,4.328,0.304167545,0.3275733448328842,0.4682262906147701,0.8705882352941177
454,2,1,cup,2,4.928,0.34633495,0.4111179052031785,0.4578243440331133,0.8853904282115869
3,3,1,milk,4,5.071,0.423182842,0.43102935875809856,0.4361972041433525,0.8421052631578947
303,3,1,bowl,9,6.18,0.515730618,0.5854475545091926,0.6776450612436066,1.0
4,4,1,coffee,5,4.534,0.29285622,0.3562569772266852,0.4246492182901343,0.7941176470588235
304,4,1,Kettle,1,5.073,0.327670844,0.4313078406259997,0.5528411605763076,0.9411764705882353
455,4,1,cup,2,4.725,0.305193128,0.38285199561122885,0.43925167137681054,0.8463476070528967
5,5,1,coffee,5,4.874,0.225815419,0.40359889476985195,0.45760632328864204,0.8382352941176471
305,5,1,cup,2,3.299,0.1528447,0.1842944237978294,0.30878550779115693,0.5743073047858942
456,5,1,milk,4,4.709,0.218170867,0.38062414066802097,0.40161197426065126,0.7942583732057417
566,5,1,Kettle,1,7.839,0.363185693,0.8164482639330565,0.8669951609972641,1.0
6,6,1,yoghurt,6,5.833,0.4912,0.5371309504283724,0.5491797837735334,0.9590643274853801
306,6,1,bowl,9,5.544,0.466863158,0.4968903205166806,0.5986242616138153,0.9883720930232558
7,7,1,apple,7,7.139,1.0,0.7189796101677132,0.6878439708944356,0.9950248756218906
8,8,1,banana,8,7.24,1.0,0.7330429444967127,0.6633418546423494,1.0
9,9,1,banana,8,4.637,0.227482339,0.37059879342358565,0.40834569666903214,0.7772277227722773
307,9,1,apple,7,3.943,0.193436028,0.2739655852619453,0.35292427516946695,0.681592039800995
457,9,1,yoghurt,6,4.353,0.213549843,0.3310543681816464,0.3923015594954346,0.7543859649122807
567,9,1,bowl,9,5.138,0.25206044,0.4403585013327815,0.5481801662526593,0.9651162790697675
10,10,1,Alarm,10,6.216,1.0,0.5904602281314103,0.5533401552917463,0.9705882352941176
11,11,2,Kettle,1,2.721,0.401505091,0.3767446560966692,0.28570804091250057,0.5725490196078431
